Serial No,Event Date,Abstract Text,Nature of Injury
1,04/08/2017,"At 6:08 p.m. on April 8, 2017, Employee #1 was helping his coworker remove the wheel assembly and tire off of a tractor. The tire fell off of the forks onto his right foot and amputated his big toe and part of his second toe. ","Amputation, Crushing"
2,04/08/2017,"At 6:50 p.m. on April 8, 2017, Employee #1, a turbine mechanic, and a coworker were attempting to reposition a load on a long flatbed truck. The load consisted of a combustor and a stand that weighed approximate 26,500 pounds. The coworker tried to release a lever style chain binder by hand, but that attempt was unsuccessful. On the second attempt, the coworker used an improvised tool, a cheater pipe that was 19.24 inches long and weighed eight pounds, as a handle extender. The coworker told Employee #1 to clear the area, and then proceeded to release the lever. The employee stood several feet away, believing that he was a safe distance. Kinetic energy was transferred from the chain binder lever to the cheater pipe, which became a projectile, striking Employee #1 on the left side of the face. The employee sustained facial fractures from the flying cheater pipe. ",Laceration
3,04/08/2017,"At approximately 2:33 a.m. on April 8, 2017, an employee, a dozer operator on the night shift, was standing on a wood chip pile next to where the chips are pulled down onto a drag chain conveyor several feet below the surface of the wood chips.  The employee was standing next to the edge of a cone shaped depression in the wood chips that was formed when the chips were pulled down onto the drag chain.  The area of the chips where he was standing gave away and he was pulled down under the chip pile.  The employee's body was pulled onto the conveyor system leading to a screening operation.  The employee's body travelled along several conveyors until it was eventually ejected through a chute to a scrap pile outside the building.  The employee was found a couple of hours after the incident. The employee suffered body trauma and was suffocated. ","Asphyxiation, Drowning"
4,04/08/2017,"At 1:00 p.m. on April 8, 2017, Employee #1 was conducting maintenance on a propane truck. There was an explosion and fire and the employee was burned on 80 percent of his body. The employee was hospitalized for his injuries. ",Fire Burn
5,04/07/2017,"At 12:00 p.m. on April 7, 2017, Employee #1, employed by an excavation company, was installing culverts along a road.  He was laying waterproofing on a culvert when he tried to jump across the culvert instead of walking around it.  Employee #1 fell to the culvert's concrete surface, a fall height of 5 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures to his tibia and fibula. ","Fracture, Broken Bones"
6,04/07/2017,"At approximately 11:00 a.m. on April 7, 2017, an employee was painting from an unguarded scaffold. The employee fell 12 feet and suffered a head injury. The employee was killed. ",Head Trauma
7,04/07/2017,"At approximately 10:00 a.m. on April 7, 2017, an employee was using an impact wrench just before the accident.  Employee was under the part affixed to the fixture when two welded studs holding it to the support arms broke. The 3,000 pound part fell atop the employee working beneath it.  At the time of the accident, the positioner arms were inverted so that the part was upside down, and was supported solely by the two butt welded bolts. The employee was crushed and killed. ",Serious Fall/Strike
8,04/07/2017,"At approximately 10:00 a.m. on April 7, 2017, employees tasked to sea lion counts (enumeration run) had just completed the task and were returning to their original boat launch site. A 26-feet tuff boat capsized as a wave came over the bow swamping the boat causing it to roll and sink with all four occupants located in the cabin. All members were able to escape the cabin and emerge. However, Employee #1 drowned and Employee #2 was hospitalized. Life jackets (PFD's) were worn by all crew members. ",Serious Fall/Strike
9,04/07/2017,"At 9:10 a.m. on April 7, 2017, Employee #1 and Coworker #1, employed by a manufacturer of concrete pipe and other precast products, were engaged in precast work.  Employee #1 was removing a concrete mold.  He was attempting to place a brace under the concrete precast when Coworker #1, a machine operator, lowered the precast.  The precast struck Employee #1's hand.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for the partial amputation of two fingers.  During the subsequent investigation, a factor in the incident was identified as lack of communication between the machine operator and the workers on the ground. ","Amputation, Crushing"
10,04/07/2017,"At 5:30 p.m. on April 7, 2017, Employee #1 was adjusting the spacer on a coil splitter. The employee's arm became caught between the hold down arm and the roll. Employee#1 sustained a fractured arm, and was hospitalized for his injury. ","Fracture, Broken Bones"
11,04/07/2017,"At 5:00 p.m. on April 7, 2017, Employee #1 was holding a sheet metal part within two inches of the end of the work piece, while placing it in the Cincinnati Press Brake #6. As the employee stepped on the foot pedal, his right index finger tip was amputated by the press brake. ","Amputation, Crushing"
12,04/07/2017,"At 4:30 a.m. on April 7, 2017, Employee #1 and Coworker #1, employed by a construction company, were engaged in decking work at a manufacturing plant. Employee #1 was working from an unguarded catwalk and attempting to help Coworker #1 pull in some decking material from an unguarded opening on the second floor.  Employee #1 fell from the catwalk to the ground, a fall height of approximately 14 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured skull and other bone fractures. ",Laceration
13,04/07/2017,"At approximately 3:45 a.m. on April 7, 2017, an employee was in the process of dismantling a controlled work zone. The employee was struck by a motor vehicle that entered the work zone driven by an impaired driver. The employee was killed. Three other employees were also injured. Two of the three injured employees were hospitalized. 	 ",Serious Fall/Strike
